time,x,y,z,x_raw,y_raw,z_raw,q1,q2,q3,q4
1669426399.6023343,236.76609714831093,200.47033630992664,-0.5561694047121759,-26.576202392578125,5.003594875335693,-98.7581558227539,0.2950582802295685,0.002836555941030383,0.0052427081391215324,0.9554606080055237
1669426399.8281493,236.76375915548772,200.4719253825807,-0.5549314074543115,-26.57469940185547,5.001203536987305,-98.7593994140625,0.29506349563598633,0.002822117879986763,0.0052585601806640625,0.9554591178894043
1669426400.27962,236.76891703340544,200.47154774840502,-0.5558450607990327,-26.574913024902344,5.006375789642334,-98.75851440429688,0.2950618863105774,0.0028372937813401222,0.005214149598032236,0.9554599523544312
1669426400.505645,236.77113985450217,200.47106271252636,-0.554403379192701,-26.57535171508789,5.008603096008301,-98.75996398925781,0.29507020115852356,0.002831357531249523,0.005186667200177908,0.9554576873779297
1669426400.731465,236.77120585695417,200.47114597607916,-0.5551679261026735,-26.57525634765625,5.008671283721924,-98.75920104980469,0.2950688302516937,0.0028336066752672195,0.0051809027791023254,0.9554580450057983
1669426400.9572275,236.77174138537416,200.46942943780877,-0.5536303926401883,-26.576976776123047,5.009247779846191,-98.7607192993164,0.2950704097747803,0.002835136605426669,0.00518314354121685,0.9554575085639954
1669426401.1833665,236.76774269382173,200.47103684720938,-0.5529617406662154,-26.575496673583984,5.005199432373047,-98.76138305664062,0.29506444931030273,0.002831944962963462,0.005207167472690344,0.9554591178894043
1669426401.4092908,236.76754083115122,200.4700755104099,-0.5546569400368061,-26.576440811157227,5.005036354064941,-98.75967407226562,0.2950650751590729,0.002834094688296318,0.00522942841053009,0.9554587602615356
1669426401.6352072,236.76556757732976,200.46770506402345,-0.5574513466140663,-26.57883071899414,5.003150939941406,-98.7568359375,0.2950601875782013,0.0028441238682717085,0.005239911377429962,0.955460250377655
1669426401.8610194,236.76544034053103,200.46891896808685,-0.5565737670836245,-26.577632904052734,5.0029826164245605,-98.75772857666016,0.2950631380081177,0.0028377410490065813,0.005248873494565487,0.9554591774940491
1669426402.0867624,236.76720272431,200.47004302043084,-0.5561193165994904,-26.57646369934082,5.004708290100098,-98.75820922851562,0.2950587868690491,0.0028392765671014786,0.005236919037997723,0.9554605484008789
1669426402.3124495,236.76997194735657,200.4707588626491,-0.5552921541278707,-26.5756778717041,5.007450103759766,-98.75906372070312,0.29506415128707886,0.002827860414981842,0.005191346630454063,0.9554592967033386
1669426402.5382016,236.7723485244629,200.47092056243554,-0.5536692315124989,-26.575468063354492,5.009810924530029,-98.76070404052734,0.2950668931007385,0.0028351135551929474,0.0051808226853609085,0.9554582834243774
1669426402.7639549,236.77150059022568,200.47087787237942,-0.5537318307946221,-26.57553482055664,5.008965015411377,-98.76063537597656,0.2950725555419922,0.0028326783794909716,0.005188676528632641,0.9554567337036133
1669426402.9897263,236.76840500950823,200.47014408609994,-0.5527635350887552,-26.576372146606445,5.005886554718018,-98.7615737915039,0.2950687110424042,0.0028395100962370634,0.005208615213632584,0.9554577469825745
1669426403.2154582,236.76730870066672,200.46985264332147,-0.5554231490064696,-26.57666015625,5.004815578460693,-98.75890350341797,0.29506587982177734,0.0028377261478453875,0.005228711292147636,0.9554582238197327
1669426403.4411657,236.7669979364827,200.46820881264676,-0.556734774031868,-26.57829475402832,5.004561424255371,-98.757568359375,0.2950642704963684,0.002841336652636528,0.005241692066192627,0.9554585218429565
1669426403.6668904,236.76581148656393,200.46981238302885,-0.5557333578660584,-26.576740264892578,5.003322124481201,-98.75858306884766,0.29506057500839233,0.0028326231986284256,0.005236942321062088,0.9554601907730103
1669426403.892883,236.76491136764236,200.46991842617524,-0.5559196597580289,-26.576658248901367,5.002420425415039,-98.75839233398438,0.29506024718284607,0.0028317756950855255,0.005247682332992554,0.9554601907730103
1669426404.1187117,236.7667223084073,200.47186996917384,-0.5536985793698721,-26.574684143066406,5.004159450531006,-98.76065063476562,0.29506608843803406,0.002826100215315819,0.00522421021014452,0.955458402633667
1669426404.344473,236.7682869617459,200.4712552660911,-0.5535556802705719,-26.575254440307617,5.005740642547607,-98.76079559326172,0.2950628101825714,0.002836408093571663,0.005228337831795216,0.9554591178894043
1669426404.570281,236.7688487135619,200.47147450476126,-0.553478285207115,-26.57501983642578,5.006295204162598,-98.76087951660156,0.29506048560142517,0.002834446495398879,0.005200913641601801,0.9554601311683655
1669426404.796031,236.76969317801394,200.46863963112398,-0.5538355892527079,-26.577823638916016,5.007225036621094,-98.76049041748047,0.2950577735900879,0.0028432670515030622,0.005196748301386833,0.9554612040519714
1669426405.0217698,236.77033612895906,200.46876600770358,-0.5552453915254549,-26.577659606933594,5.007872581481934,-98.75908660888672,0.2950643301010132,0.0028452135156840086,0.005206700414419174,0.9554589986801147
1669426405.247465,236.76666594276014,200.4692183931849,-0.5557463505768024,-26.577308654785156,5.0041937828063965,-98.7585678100586,0.2950609624385834,0.0028313081711530685,0.005220985971391201,0.955460250377655
1669426405.4731257,236.76496633031664,200.47091563860317,-0.5557195005704446,-26.57566261291504,5.002444744110107,-98.75860595703125,0.29505467414855957,0.002834860235452652,0.0052406759932637215,0.9554620385169983
1669426405.6989264,236.76513833461598,200.47058662671168,-0.5535416746855436,-26.57601547241211,5.002613067626953,-98.76078033447266,0.29506048560142517,0.002833432285115123,0.005238114856183529,0.9554600715637207
1669426405.9246416,236.7655295681531,200.47193395489035,-0.5558205009065138,-26.574626922607422,5.002978324890137,-98.7585220336914,0.29505953192710876,0.0028265053406357765,0.005243987310677767,0.9554603099822998
