time,command_i1,command_i2,set_v1,set_v2,i1,i2,pos1,pos2,vel1,vel2
1669426399.8831728,0.1,-0.1,0,0,0.13191461563110352,-0.12023448944091797,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.8931835,0.1,-0.1,0,0,0.10145902633666992,-0.09695577621459961,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.9041667,0.1,-0.1,0,0,0.11292886734008789,-0.12540006637573242,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.915138,0.1,-0.1,0,0,0.07891559600830078,-0.10339021682739258,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.9260662,0.1,-0.1,0,0,0.11411476135253906,-0.20100831985473633,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.937051,0.1,-0.1,0,0,0.11688566207885742,-0.04859733581542969,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.9480486,0.1,-0.1,0,0,0.12103700637817383,-0.006753444671630859,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.9590182,0.1,-0.1,0,0,0.11352252960205078,-0.08527708053588867,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.969958,0.1,-0.1,0,0,0.09908723831176758,-0.08916950225830078,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.9809096,0.1,-0.1,0,0,0.10937118530273438,-0.09994983673095703,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426399.9918628,0.1,-0.1,0,0,0.13942909240722656,-0.20293092727661133,-0.0010262131690979004,-0.003051280975341797,0.0,-0.006605684757232666
1669426400.0018768,0.1,-0.1,0,0,0.08643007278442383,-0.08947563171386719,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.012848,0.1,-0.1,0,0,0.12558746337890625,-0.12375497817993164,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.023818,0.1,-0.1,0,0,0.10363626480102539,-0.10031890869140625,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.034782,0.1,-0.1,0,0,0.12954282760620117,-0.07094192504882812,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.0457802,0.1,-0.1,0,0,0.038575172424316406,-0.08353328704833984,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.0567293,0.1,-0.1,0,0,0.09216499328613281,-0.13284873962402344,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.0676968,0.1,-0.1,0,0,0.05123090744018555,-0.13353967666625977,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.0786595,0.1,-0.1,0,0,0.06329584121704102,-0.06184673309326172,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.088711,0.1,-0.1,0,0,0.0933537483215332,-0.08003425598144531,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.0996096,0.1,-0.1,0,0,0.08880472183227539,-0.10906648635864258,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.1105804,0.1,-0.1,0,0,0.11115074157714844,-0.08737850189208984,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.121549,0.1,-0.1,0,0,0.1279592514038086,-0.10941123962402344,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.1325219,0.1,-0.1,0,0,0.09276008605957031,-0.10241317749023438,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.1425607,0.1,-0.1,0,0,0.09394598007202148,-0.09472417831420898,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.153467,0.1,-0.1,0,0,0.10245037078857422,-0.06849861145019531,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.1635125,0.1,-0.1,0,0,0.09849357604980469,-0.10031890869140625,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
